timestamp,meter_id,load,lag_1,lag_2,lag_24,roll24_mean,hour,dayofweek,month,is_weekend
2025-04-23 16:00:00,304291.5,200.5158335367839,214.4872727827592,210.81772821599796,223.7707683856671,218.49712950405265,16,2,4,0
2025-04-23 17:00:00,304291.5,222.8520825703939,200.5158335367839,214.4872727827592,226.82115232027502,217.52817388534922,17,2,4,0
2025-04-23 18:00:00,339950.3076923077,204.77076955942007,222.8520825703939,200.5158335367839,227.84538562481222,217.36279597910413,18,2,4,0
2025-04-23 19:00:00,339950.3076923077,223.95153984656704,204.77076955942007,222.8520825703939,220.01615260197562,216.40135364304612,19,2,4,0
2025-04-23 20:00:00,339950.3076923077,216.55269211989193,223.95153984656704,204.77076955942007,204.48115422175485,216.56532811157078,20,2,4,0
2025-04-23 21:00:00,339950.3076923077,217.1653835590069,216.55269211989193,223.95153984656704,212.6592313326322,217.06830885732646,21,2,4,0
2025-04-23 22:00:00,339950.3076923077,215.361922630897,217.1653835590069,216.55269211989193,210.28961592454192,217.25606520009208,22,2,4,0
2025-04-23 23:00:00,339950.3076923077,215.55499913142285,215.361922630897,217.1653835590069,210.9223069411058,217.4674113128569,23,2,4,0
2025-04-24 00:00:00,400854.22222222225,218.57499779595267,215.55499913142285,215.361922630897,216.4581270217897,217.66044015412012,0,3,4,0
2025-04-24 01:00:00,339950.3076923077,221.01384617732128,218.57499779595267,215.55499913142285,195.68422992412857,217.7486431030436,1,3,4,0
2025-04-24 02:00:00,393719.14285714284,165.35375104631694,221.01384617732128,218.57499779595267,190.8406819430265,218.80404378025995,2,3,4,0
2025-04-24 03:00:00,339950.3076923077,225.5715384850135,165.35375104631694,221.01384617732128,219.75192378117492,217.74208832623037,3,3,4,0
2025-04-24 04:00:00,339950.3076923077,227.75269200251657,225.5715384850135,165.35375104631694,222.27307598407455,217.98457227222366,4,3,4,0
2025-04-24 05:00:00,339950.3076923077,231.30846170278699,227.75269200251657,225.5715384850135,223.78230872521038,218.21288960632543,5,3,4,0
2025-04-24 06:00:00,333457.9166666667,224.57874933878588,231.30846170278699,227.75269200251657,229.69923224815955,218.52647931372442,6,3,4,0
2025-04-24 07:00:00,339950.3076923077,219.24423041710494,224.57874933878588,231.30846170278699,235.21807685265173,218.31312585916717,7,3,4,0
2025-04-24 08:00:00,339950.3076923077,239.67346074030957,219.24423041710494,224.57874933878588,228.135000375601,217.64754892435272,8,3,4,0
2025-04-24 09:00:00,333457.9166666667,227.1512502034506,239.67346074030957,219.24423041710494,236.4819224430965,218.1283181062156,9,3,4,0
2025-04-24 10:00:00,333457.9166666667,233.65416781107595,227.1512502034506,239.67346074030957,223.83692227877106,217.73954009623034,10,3,4,0
2025-04-24 11:00:00,304291.5,202.96791648864755,233.65416781107595,227.1512502034506,220.28538513183605,218.14859199340972,11,3,4,0
2025-04-24 12:00:00,339950.3076923077,211.32538487361035,202.96791648864755,233.65416781107595,231.0529983520508,217.4270307999435,12,3,4,0
2025-04-24 13:00:00,339950.3076923077,227.66076953594504,211.32538487361035,202.96791648864755,208.32045468417076,216.60504690500852,13,3,4,0
2025-04-24 14:00:00,339950.3076923077,226.38346217228823,227.66076953594504,211.32538487361035,210.81772821599796,217.4108933571658,14,3,4,0
2025-04-24 15:00:00,339950.3076923077,217.92653890756463,226.38346217228823,227.66076953594504,214.4872727827592,218.0594656053445,15,3,4,0
2025-04-24 16:00:00,339950.3076923077,225.731923029973,217.92653890756463,226.38346217228823,200.5158335367839,218.20276836054475,16,3,4,0
2025-04-24 17:00:00,335011.0,211.9591668446859,225.731923029973,217.92653890756463,222.8520825703939,219.25343875609428,17,3,4,0
2025-04-24 18:00:00,339950.3076923077,205.0603848970854,211.9591668446859,225.731923029973,204.77076955942007,218.79956726752314,18,3,4,0
2025-04-24 19:00:00,339950.3076923077,225.52192394550033,205.0603848970854,211.9591668446859,223.95153984656704,218.8116345732592,19,3,4,0
2025-04-24 20:00:00,339950.3076923077,219.67653832068817,225.52192394550033,205.0603848970854,216.55269211989193,218.8770672440481,20,3,4,0
2025-04-24 21:00:00,339950.3076923077,220.10500042255111,219.67653832068817,225.52192394550033,217.1653835590069,219.0072275024146,21,3,4,0
2025-04-24 22:00:00,339950.3076923077,210.9180761483999,220.10500042255111,219.67653832068817,215.361922630897,219.12971153839564,22,3,4,0
2025-04-24 23:00:00,339950.3076923077,214.34615384615384,210.9180761483999,220.10500042255111,215.55499913142285,218.94455126829155,23,3,4,0
2025-04-25 00:00:00,311532.4285714286,222.69499969482428,214.34615384615384,210.9180761483999,218.57499779595267,218.8941827147387,0,4,4,0
2025-04-25 01:00:00,339950.3076923077,220.778074998122,222.69499969482428,214.34615384615384,221.01384617732128,219.065849460525,1,4,4,0
2025-04-25 02:00:00,377365.82608695654,197.72673897121263,220.778074998122,222.69499969482428,165.35375104631694,219.0560256613917,2,4,4,0
2025-04-25 03:00:00,339950.3076923077,225.2711545504057,197.72673897121263,220.778074998122,225.5715384850135,220.40490015826234,3,4,4,0
2025-04-25 04:00:00,336758.53846153844,218.57346050555893,225.2711545504057,197.72673897121263,227.75269200251657,220.392384160987,4,4,4,0
2025-04-25 05:00:00,339950.3076923077,212.91615178034866,218.57346050555893,225.2711545504057,231.30846170278699,220.00991618194712,5,4,4,0
2025-04-25 06:00:00,339950.3076923077,226.6242317786584,212.91615178034866,218.57346050555893,224.57874933878588,219.24356993517884,6,4,4,0
2025-04-25 07:00:00,339950.3076923077,238.33000065730175,226.6242317786584,212.91615178034866,219.24423041710494,219.32879837017356,7,4,4,0
2025-04-25 08:00:00,339950.3076923077,239.7442298302284,238.33000065730175,226.6242317786584,239.67346074030957,220.1240387968484,8,4,4,0
2025-04-25 09:00:00,339950.3076923077,238.20615445650537,239.7442298302284,238.33000065730175,227.1512502034506,220.12698750892835,9,4,4,0
2025-04-25 10:00:00,304291.5,234.36666679382324,238.20615445650537,239.7442298302284,233.65416781107595,220.5876085194723,10,4,4,0
2025-04-25 11:00:00,339950.3076923077,211.53653775728668,234.36666679382324,238.20615445650537,202.96791648864755,220.61729597708677,11,4,4,0
2025-04-25 12:00:00,339950.3076923077,217.7157704279974,211.53653775728668,234.36666679382324,211.32538487361035,220.9743218632801,12,4,4,0
2025-04-25 13:00:00,339950.3076923077,216.28307635967542,217.7157704279974,211.53653775728668,227.66076953594504,221.2405879280462,13,4,4,0
2025-04-25 14:00:00,339950.3076923077,226.01038360595706,216.28307635967542,217.7157704279974,226.38346217228823,220.76651737903498,14,4,4,0
2025-04-25 15:00:00,339950.3076923077,226.42961766169634,226.01038360595706,216.28307635967542,217.92653890756463,220.75097243877119,15,4,4,0
2025-04-25 16:00:00,339950.3076923077,228.96346165583688,226.42961766169634,226.01038360595706,225.731923029973,221.10526738686,16,4,4,0
2025-04-25 17:00:00,339950.3076923077,230.2530764066256,228.96346165583688,226.42961766169634,211.9591668446859,221.23991482960434,17,4,4,0
2025-04-25 18:00:00,339950.3076923077,230.07461489163921,230.2530764066256,228.96346165583688,205.0603848970854,222.0021610613518,18,4,4,0
2025-04-25 19:00:00,339950.3076923077,225.53153756948626,230.07461489163921,230.2530764066256,225.52192394550033,223.04442064445823,19,4,4,0
